timestamp,ticker,assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTime,tradeTime,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled
2022-11-25 11:04:45,SPY,ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,402.77,500,P,402.78,1000,P,402.77,100,D,401.83,402.91,401.535, ,402.42,0.35,12446460,2022-11-25 11:04:45,2022-11-25 11:04:45,402.77,p,PACIFIC,True,True,0.0083,2,479.98,348.11,0.0,0.0,6.1757,1.53,2022-09-16 00:00:00.000,Normal,402.77,1,0.35,0.087,0.35,0.087,0.087,True,False
2022-11-25 11:04:45,TSLA,EQUITY,EQUITY,88160R101,,TSLA,"Tesla, Inc.  - Common Stock",183.6,500,K,183.63,100,V,183.62,100,D,185.06,185.2,180.63, ,183.2,0.42,33537265,2022-11-25 11:04:45,2022-11-25 11:04:45,183.62,q,NASD,True,True,0.0228,4,402.6667,166.185,0.0,56.4382,0.0,0.0,,Normal,183.62,1,0.42,0.2293,0.42,0.2293,0.2293,True,False
2022-11-25 11:04:44,QQQ,ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",287.66,1500,Q,287.68,200,U,287.68,100,D,287.19,287.91,286.42, ,288.82,-1.14,7540839,2022-11-25 11:04:45,2022-11-25 11:04:44,287.68,q,NASD,True,True,0.0158,4,404.58,254.26,0.0,0.0,1.9711,0.68,2022-09-19 00:00:00.000,Normal,287.68,1,-1.14,-0.3947,-1.14,-0.3947,-0.3947,True,False
2022-11-25 11:04:45,AMZN,EQUITY,EQUITY,023135106,,AMZN,"Amazon.com, Inc. - Common Stock",94.18,300,U,94.19,1000,P,94.189,2000,D,93.79,94.3019,93.065, ,94.13,0.059,15978629,2022-11-25 11:04:44,2022-11-25 11:04:45,94.189,q,NASD,True,True,0.0205,4,181.675,85.87,0.0,86.8662,0.0,0.0,,Normal,94.189,20,0.059,0.0627,0.059,0.0627,0.0627,True,False
2022-11-25 11:04:45,AAPL,EQUITY,EQUITY,037833100,,AAPL,Apple Inc. - Common Stock,148.28,600,Q,148.29,300,V,148.2809,400,D,148.305,148.88,147.12, ,151.07,-2.7891,17818104,2022-11-25 11:04:45,2022-11-25 11:04:45,148.2809,q,NASD,True,True,0.0213,4,182.94,129.04,0.0,24.757,0.92,0.61,2022-11-04 00:00:00.000,Normal,148.2809,4,-2.7891,-1.8462,-2.7891,-1.8462,-1.8462,True,False
2022-11-25 11:04:45,AMD,EQUITY,EQUITY,007903107,,AMD,"Advanced Micro Devices, Inc. - Common Stock",75.51,400,U,75.53,800,K,75.52,100,D,75.67,76.0393,74.7495, ,76.4,-0.88,16462734,2022-11-25 11:04:45,2022-11-25 11:04:45,75.52,q,NASD,True,True,0.0189,4,164.4599,54.57,0.0,45.7932,0.0,0.0,,Normal,75.52,1,-0.88,-1.1518,-0.88,-1.1518,-1.1518,True,False
2022-11-25 11:04:40,IWM,ETF,EQUITY,464287655,ETF,IWM,iShares Russell 2000 ETF,186.09,500,K,186.1,1200,Z,186.1,100,T,185.09,186.37,184.66, ,185.19,0.91,4550079,2022-11-25 11:04:45,2022-11-25 11:04:40,186.1,p,PACIFIC,True,True,0.0081,2,233.0,162.5,0.0,0.0,2.4207,1.31,2022-09-26 00:00:00.000,Normal,186.1,1,0.91,0.4914,0.91,0.4914,0.4914,True,False
2022-11-25 11:04:42,NVDA,EQUITY,EQUITY,67066G104,,NVDA,NVIDIA Corporation - Common Stock,163.93,100,U,163.97,100,Q,163.95,100,D,163.18,164.87,161.72, ,165.19,-1.24,9915321,2022-11-25 11:04:45,2022-11-25 11:04:42,163.95,q,NASD,True,True,0.0345,4,334.12,108.13,0.0,70.2631,0.16,0.1,2022-11-30 00:00:00.000,Normal,163.95,1,-1.24,-0.7507,-1.24,-0.7507,-0.7507,True,False
2022-11-25 11:04:45,TQQQ,ETF,EQUITY,74347X831,ETF,TQQQ,ProShares UltraPro QQQ,22.44,40700,Q,22.45,19600,P,22.445,1000,D,22.34,22.5,22.15, ,22.73,-0.285,39992676,2022-11-25 11:04:45,2022-11-25 11:04:45,22.445,q,NASD,True,True,0.0233,4,87.49,16.32,0.0,0.0,0.0,0.0,,Normal,22.445,10,-0.285,-1.2538,-0.285,-1.2538,-1.2538,True,False
2022-11-25 11:04:44,META,EQUITY,EQUITY,30303M102,,META,"Meta Platforms, Inc. - Class A Common Stock",111.39,300,Q,111.4,200,U,111.395,100,D,111.3,112.73,111.02, ,112.24,-0.845,6150096,2022-11-25 11:04:44,2022-11-25 11:04:44,111.395,q,NASD,True,True,0.0236,4,352.71,88.09,0.0,10.7041,0.0,0.0,,Normal,111.395,1,-0.845,-0.7529,-0.845,-0.7528,-0.7529,True,False
